Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image
Montenisa,Marchese Antinori Cuvée Royale,,Franciacorta,Italy,,3.7,2016-01-03 12:12,3.0,,Non me lo ricordo più. Bevuto il 31/12/2015.,,Sparkling, - ,"Beef, Lamb, Pork, Rich fish (salmon, tuna etc), Shellfish, Vegetarian, Poultry",https://www.vivino.com/wines/35593775,https://images.vivino.com/labels/QCh_hWxTThKGtdcCkC_RRQ.jpg
Cà dei Frati,Tre Filer Stramature Dolce,2009,Lombardia,Italy,Northern Italy White,3.6,2014-12-06 20:08,4.0,,Mi piace perché non sa di uvetta e/o uva passa.,,Dessert Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/2122085,https://images.vivino.com/labels/01jflwtph9n1p.jpg
Tenuta di Monteveglio,Chiarli Colli Bolognesi Pignoletto,,Emilia-Romagna,Italy,Central Italy White,3.2,2015-03-07 21:09,3.0,,,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/1860779,https://images.vivino.com/labels/01yx2txu0i2bs.jpg
Dolianova,Cagliari Moscato,2010,Sardegna,Italy,,3.3,2016-01-05 12:12,3.0,,Fruttato. Bevuto il 31 /12/2015.,,Dessert Wine, - ,Sweet desserts,https://www.vivino.com/wines/2276331,https://images.vivino.com/labels/PHaQC_2eSAOPrzq0hEXalg.jpg
Drei Donà - Tenuta La Palazza,PRUNO - Sangiovese di Romagna DOC Superiore Riserva,2011,Emilia-Romagna,Italy,Central Italy Red,4.1,2015-12-19 20:08,4.0,,Dicono un po' ruffiano.,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/3151585,https://images.vivino.com/labels/CSjIVeS_QbWiTaFNyz-Cjw.jpg
,Le Caselle,,,,,3.5,2015-04-18 10:10,3.5,,Sincero.,,White Wine, - ,"Beef, Lamb, Pork, Spicy food",https://www.vivino.com/wines/21127676,https://images.vivino.com/labels/024q0o8noa7gs.jpg
Righetti,Righetti Amarone della Valpolicella Classico,2010,Valpolicella,Italy,Italian Amarone,4.2,2016-02-20 21:09,4.5,,"Ciliegia, cuoio, tabacco.",,Red Wine, - ,"Beef, Lamb, Game (deer, venison), Blue cheese",https://www.vivino.com/wines/2601598,https://images.vivino.com/labels/nxU1j2q4TZSM2i8JUioY0g.jpg
Il Monticino,Malvasia Del Monticino,2011,Emilia-Romagna,Italy,Central Italy White,4.0,2015-12-31 12:12,4.0,,Buono ma albicocca,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/38241438,https://images.vivino.com/labels/CIj4iLeaTK2UKBkiHdMv-w.jpg
Kuenhof,Südtirol Eisacktaler Veltliner,2013,Trentino-Alto Adige,Italy,Northern Italy Red,3.4,2014-10-19 11:11,3.0,,Bevuto a 7 gradi e forse era troppo freddo.,,Red Wine, - ,"Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/5882720,https://images.vivino.com/labels/01d0l1u7yg9qs.jpg
Fondo Ca Vecja,Colvento Colli D'Imola Bianco Superiore,2013,Emilia-Romagna,Italy,Central Italy White,3.8,2015-02-13 17:05,3.5,,Sapore classico.,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/11707175,https://images.vivino.com/labels/01vp85zyczehm.jpg
Ancarani,Pignoletto,2015,Colli di Faenza,Italy,Northern Italy Red,3.0,2016-05-28 18:06,3.0,,Secco e piano,,Red Wine, - ,"Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/143686493,https://images.vivino.com/labels/SIb3KQo9Q3uMu7pGOW-1gQ.jpg
,Custoza,2013,,,,4.0,2014-12-14 12:12,4.0,,Buono. Agrumi e pompelmo (S.),,White Wine, - ,"",https://www.vivino.com/wines/12873530,https://images.vivino.com/labels/01kla7zs8sd9h.jpg
Cascina Degli Ulivi,Gavi,2014,Piemonte,Italy,Italian Gavi,3.2,2016-05-07 19:07,2.0,,Per i miei gusti è un po' troppo genuino...,,White Wine, - ,"Pasta, Shellfish, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/27591702,https://images.vivino.com/labels/TxAZAY4vS7K4V_pdp3C-uw.jpg
,Crémant d'Alsace Brut,,,,,3.0,2015-04-10 08:08,3.0,,Troppo secco.,,Sparkling, - ,"",https://www.vivino.com/wines/20658384,https://images.vivino.com/labels/023lckwsncah9.jpg
Fondo Ca Vecia,Due Pievi Vino Bianco,2014,,,,3.8,2016-06-02 10:10,,,,,Red Wine, - ,"",https://www.vivino.com/wines/118023352,https://images.vivino.com/labels/PIwOtwxqTRK02np1qTpRhw.jpg
Fondo Ca Vecia,Plebe St Andree Chardonnay,,,,,4.0,2015-09-03 17:05,4.0,,Ottimo come sempre. Il mio preferito!,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/2749901,https://images.vivino.com/labels/02nnjo3wn2ugu.jpg
Mezzacorona,Castel Firmian Lagrein Trentino,2010,Trentino,Italy,Northern Italy Red,3.5,2015-10-17 10:10,,,,,Red Wine, - ,"Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/2001268,https://images.vivino.com/labels/kiVP2bgbSGW3fNRrlpt43w.jpg
Sartori,Villa Mura Chardonnay Veneto,,Veneto,Italy,Northern Italy White,2.9,2015-06-17 17:05,3.0,,Piano.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/6029640,https://images.vivino.com/labels/02d43c16g2k8k.jpg
,Grüner Veltliner,2013,,,,4.0,2015-09-27 17:05,4.0,,Essenziale e liscio.,,Unknown, - ,"Pork, Rich fish (salmon, tuna etc), Shellfish, Vegetarian, Lean fish, Mild and soft cheese, Goat cheese",https://www.vivino.com/wines/38338940,https://images.vivino.com/labels/02r6gx4gtfzqq.jpg
Ottella,Molceo Lugana Superiore,2010,Lugana,Italy,Northern Italy White,3.5,2015-04-02 10:10,3.0,,Agrumi.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/2326241,https://images.vivino.com/labels/022a95bq7kh3j.jpg
Tenuta Bonzara,Colli Bolognesi Il Rosso Bologna,,Emilia-Romagna,Italy,,3.5,2014-11-30 12:12,2.0,,Legno.,,Unknown, - ,"",https://www.vivino.com/wines/3517714,https://images.vivino.com/labels/01ili4p0prrrm.jpg
Le Grand Noir,Black Sheep Chardonnay,2013,Minervois,France,Languedoc-Roussillon White,3.5,2015-07-23 10:10,3.5,,Secco e liscio,,White Wine, - ,"Pasta, Vegetarian, Poultry, Lean fish, Aperitif",https://www.vivino.com/wines/3048819,https://images.vivino.com/labels/02hxvr3kg1p4q.jpg
Fondo Ca Vecja,Burnis Pignoletto,2012,Emilia-Romagna,Italy,Central Italy White,3.5,2015-01-11 17:05,3.5,,,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/14695577,https://images.vivino.com/labels/01raz7q5fy39l.jpg
Fondo Ca Vecja,Burnis Pignoletto,,Emilia-Romagna,Italy,Central Italy White,2.8,2015-07-02 17:05,3.5,,Non troppo frizzante,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/5157776,https://images.vivino.com/labels/02f4qbj2dl1za.jpg
,Albana di Romagna Passito,2010,,,,4.0,2014-11-03 20:08,4.0,,Albicocca,,Unknown, - ,"",https://www.vivino.com/wines/10867129,
Fondo Ca Vecia,Plebe St Andree Chardonnay,2013,,,,4.5,2014-12-31 20:08,4.5,,Anche se ha meno gradi rispetto al 2012 è sempre valido.,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/14083352,https://images.vivino.com/labels/01p93idgwn6u4.jpg
,Centurione Romagna Sangiovese Superiore,2014,,,,4.0,2016-03-26 18:06,4.0,,"Un po' aspro, meglio berlo dopo averlo lasciato aperto qualche ora. Appena aperto è sotto alle tre stelle.",,Red Wine, - ,"Beef, Veal, Pork, Game (deer, venison), Mature and hard cheese, Poultry",https://www.vivino.com/wines/141278235,https://images.vivino.com/labels/leLaODAyQ4icIKehGwVCWw.jpg
,Plebe St. Andrée,2013,,,,4.5,2014-12-18 18:06,4.5,,Ottimo.,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/13047339,https://images.vivino.com/labels/01l7upuaz656a.jpg
Fondo Ca Vecja,Colvento Colli D'Imola Bianco Superiore,2009,Emilia-Romagna,Italy,Central Italy White,4.0,2014-12-20 19:07,4.0,,Tiene il tempo.,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/13171481,https://images.vivino.com/labels/01lqf9sz90lkw.jpg
Mezzacorona,Castel Firmian Traminer Aromatico,2012,Trentino,Italy,Northern Italy White,3.5,2014-11-16 11:11,3.0,,Sa di marsala.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/2199300,https://images.vivino.com/labels/01gl24y4zktqr.jpg
Mezzacorona,Castel Firmian Assonanza,2013,Vigneti delle Dolomiti,Italy,Northern Italy White,3.5,2015-09-11 11:11,4.0,,Bello liscio.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/17275939,https://images.vivino.com/labels/02or5tnyouoch.jpg
,Due Pievi,2014,,,,4.0,2015-05-03 11:11,4.0,,A me piace molto!,,White Wine, - ,"",https://www.vivino.com/wines/22234726,https://images.vivino.com/labels/026y8h69ip24r.jpg
Fondo Ca Vecia,Plebe St Andree Chardonnay,2012,,,,4.5,2014-12-31 20:08,4.5,,Una sicurezza.,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/14079958,https://images.vivino.com/labels/01p8wcwygriha.jpg
Feudo Arancio,Tinchitè,2014,Terre Siciliane,Italy,Southern Italy White,3.7,2015-11-07 18:06,3.0,,Adatto con carni leggere.,,White Wine, - ,"Shellfish, Vegetarian, Apertizers and snacks",https://www.vivino.com/wines/8252783,https://images.vivino.com/labels/dwW-fHylSmOp4Qeap4VhCQ.jpg
Nals Margreid,Sirmian Pinot Bianco,2014,Alto Adige,Italy,Northern Italy Pinot Blanc,3.8,2015-05-23 11:11,3.0,,Secco. Molto adatto con formaggio di capra.,,White Wine, - ,"Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat",https://www.vivino.com/wines/4472636,https://images.vivino.com/labels/029mwtl0pwbw0.jpg
Colterenzio,St. Daniel Pinot Nero (Blauburgunder) Riserva Südtirol Alto Adige,2011,Trentino-Alto Adige,Italy,Northern Italy Pinot Noir,3.7,2016-01-03 12:12,4.0,,Molto rotondo. Bevuto il 31/12/2015.,,Red Wine, - ,"Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/2398100,https://images.vivino.com/labels/US7nDWNHTcemOGdjMQsXZQ.jpg
Valvitis,Delle Venezie Traminer Aromatico,,delle Venezie,Italy,Northern Italy White,2.5,2015-12-19 12:12,2.5,,Arancia ma un po' troppo amaro.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/4560475,https://images.vivino.com/labels/Y3yMrzmrRFmNCW9anzmZ5A.jpg
Abbazia di Novacella,Gaudium Grüner Veltliner,2014,Trentino-Alto Adige,Italy,Austrian Grüner Veltliner,3.7,2015-11-22 11:11,3.0,,Un po' troppo amaro,,White Wine, - ,"Pork, Vegetarian, Poultry, Lean fish, Cured Meat",https://www.vivino.com/wines/22053639,https://images.vivino.com/labels/9VOF3Y9WRVylRYHPoTleTQ.jpg
Cocevola,Castel del Monte Rosso Nero di Troia,2008,Puglia,Italy,Southern Italy Red,3.8,2015-12-08 12:12,3.5,,Amarena,,Red Wine, - ,"Beef, Pasta, Lamb",https://www.vivino.com/wines/3698208,https://images.vivino.com/labels/SPF9VTRDQEmuPyL_nvWTcw.jpg
,Due Pievi,2014,,,,4.0,2016-02-06 11:11,4.0,,Molto buono!,,White Wine, - ,"",https://www.vivino.com/wines/107144036,https://images.vivino.com/labels/sGJ3VEF_TY2yCm277haArA.jpg
